"team","score","event","ranking","eventname"
"Complexity Gaming",1340,9,6,"spr_reg1"
"OpTic Gaming",1280,9,7,"spr_reg1"
"Oxygen Esports",850,9,8,"spr_reg1"
"Rogue",800,9,9,"spr_reg1"
"Ghost Gaming",780,9,10,"spr_reg1"
"XSET",650,9,11,"spr_reg1"
"Soniqs",540,9,12,"spr_reg1"
"Akrew",440,9,13,"spr_reg1"
"Torrent",440,9,14,"spr_reg1"
"Stromboli",430,9,15,"spr_reg1"
"Shopify Rebellion",400,9,16,"spr_reg1"
"AXLE0R8",200,9,17,"spr_reg1"
"Randoms",160,9,18,"spr_reg1"
"eUnited",150,9,19,"spr_reg1"
"Limitless",150,9,20,"spr_reg1"
"AllMid",140,9,21,"spr_reg1"
"Ducks on Quack",110,9,22,"spr_reg1"
"Gentlemen",100,9,23,"spr_reg1"
"Friends",80,9,24,"spr_reg1"
"Nefarious",40,9,25,"spr_reg1"
"Pittsburgh Knights",0,9,26,"spr_reg1"
"sup",0,9,27,"spr_reg1"
"G2 Esports",3225,10,1,"spr_reg2"
"NRG",2802,10,2,"spr_reg2"
"FaZe Clan",2671,10,3,"spr_reg2"
"Spacestation Gaming",2130,10,4,"spr_reg2"
"Version1",2011,10,5,"spr_reg2"
"OpTic Gaming",1580,10,6,"spr_reg2"
"Complexity Gaming",1550,10,7,"spr_reg2"
"Oxygen Esports",930,10,8,"spr_reg2"
"Rogue",930,10,9,"spr_reg2"
"Ghost Gaming",860,10,10,"spr_reg2"
"XSET",780,10,11,"spr_reg2"
"Soniqs",720,10,12,"spr_reg2"
"Torrent",650,10,13,"spr_reg2"
"Akrew",440,10,14,"spr_reg2"
"Stromboli",430,10,15,"spr_reg2"
"Shopify Rebellion",400,10,16,"spr_reg2"
"AXLE0R8",280,10,17,"spr_reg2"
"AllMid",220,10,18,"spr_reg2"
"Randoms",160,10,19,"spr_reg2"
"eUnited",150,10,20,"spr_reg2"
"Limitless",150,10,21,"spr_reg2"
"Pittsburgh Knights",130,10,22,"spr_reg2"
"Ducks on Quack",110,10,23,"spr_reg2"
"Gentlemen",100,10,24,"spr_reg2"
"Friends",80,10,25,"spr_reg2"
"Nefarious",40,10,26,"spr_reg2"
"sup",0,10,27,"spr_reg2"
"G2 Esports",3575,11,1,"spr_reg3"
"FaZe Clan",3072,11,2,"spr_reg3"
"NRG",2932,11,3,"spr_reg3"
"Spacestation Gaming",2380,11,4,"spr_reg3"
"Version1",2311,11,5,"spr_reg3"
"OpTic Gaming",1790,11,6,"spr_reg3"
"Complexity Gaming",1760,11,7,"spr_reg3"
"Oxygen Esports",1110,11,8,"spr_reg3"
"Rogue",1060,11,9,"spr_reg3"
"Ghost Gaming",940,11,10,"spr_reg3"
"Soniqs",850,11,11,"spr_reg3"
"XSET",780,11,12,"spr_reg3"
"Torrent",650,11,13,"spr_reg3"
"Akrew",620,11,14,"spr_reg3"
"Stromboli",510,11,15,"spr_reg3"
"Shopify Rebellion",480,11,16,"spr_reg3"
"Randoms",290,11,17,"spr_reg3"
"AXLE0R8",280,11,18,"spr_reg3"
"AllMid",220,11,19,"spr_reg3"
"Pittsburgh Knights",210,11,20,"spr_reg3"
"eUnited",150,11,21,"spr_reg3"
"Limitless",150,11,22,"spr_reg3"
"Ducks on Quack",110,11,23,"spr_reg3"
"Gentlemen",100,11,24,"spr_reg3"
"Friends",80,11,25,"spr_reg3"
"Nefarious",40,11,26,"spr_reg3"
"sup",0,11,27,"spr_reg3"
"G2 Esports",3835,12,1,"spr_maj"
"FaZe Clan",3332,12,2,"spr_maj"
"NRG",2932,12,3,"spr_maj"
"Version1",2911,12,4,"spr_maj"
"Spacestation Gaming",2800,12,5,"spr_maj"
"OpTic Gaming",2150,12,6,"spr_maj"
"Complexity Gaming",1760,12,7,"spr_maj"
"Oxygen Esports",1110,12,8,"spr_maj"
"Rogue",1060,12,9,"spr_maj"
"Ghost Gaming",940,12,10,"spr_maj"
"Soniqs",850,12,11,"spr_maj"
"XSET",780,12,12,"spr_maj"
"Torrent",650,12,13,"spr_maj"
"Akrew",620,12,14,"spr_maj"
"Stromboli",510,12,15,"spr_maj"
"Shopify Rebellion",480,12,16,"spr_maj"
"Randoms",290,12,17,"spr_maj"
"AXLE0R8",280,12,18,"spr_maj"
"AllMid",220,12,19,"spr_maj"
"Pittsburgh Knights",210,12,20,"spr_maj"
"eUnited",150,12,21,"spr_maj"
"Limitless",150,12,22,"spr_maj"
"Ducks on Quack",110,12,23,"spr_maj"
"Gentlemen",100,12,24,"spr_maj"
"Friends",80,12,25,"spr_maj"
"Nefarious",40,12,26,"spr_maj"
"sup",0,12,27,"spr_maj"
